281 2137
53 56 1.84
53 57 1.84
54 55 1.68
54 56 1.68
54 57 1.68
55 56 1.52
55 57 1.52
56 57 1.84
58 59 1.68
58 60 1.84
58 61 1.84
58 62 1.84
58 63 1.84
58 64 1.84
58 65 1.84
58 66 1.84
58 67 1.84
58 68 1.84
58 69 1.84
58 70 1.84
58 71 1.84
58 72 1.84
59 60 1.68
59 61 1.68
59 62 1.68
59 63 1.68
59 64 1.68
59 65 1.68
59 66 1.68
59 67 1.68
59 68 1.68
59 69 1.68
59 70 1.68
59 71 1.68
59 72 1.68
60 61 1.84
60 62 1.84
60 63 1.84
60 64 1.84
60 65 1.84
60 66 1.84
60 67 1.84
60 68 1.84
60 69 1.84
60 70 1.84
60 71 1.84
60 72 1.84
61 62 1.84
61 63 1.84
61 64 1.84
61 65 1.84
61 66 1.84
61 67 1.84
61 68 1.84
61 69 1.84
61 70 1.84
61 71 1.84
61 72 1.84
62 63 1.84
62 64 1.84
62 65 1.84
62 66 1.84
62 67 1.84
62 68 1.84
62 69 1.84
62 70 1.84
62 71 1.84
62 72 1.84
63 64 1.84
63 65 1.84
63 66 1.84
63 67 1.84
63 68 1.84
63 69 1.84
63 70 1.84
63 71 1.84
63 72 1.84
64 65 1.84
64 66 1.84
64 67 1.84
64 68 1.84
64 69 1.84
64 70 1.84
64 71 1.84
64 72 1.84
65 66 1.84
65 67 1.84
65 68 1.84
65 69 1.84
65 70 1.84
65 71 1.84
65 72 1.84
66 67 1.84
66 68 1.84
66 69 1.84
66 70 1.84
66 71 1.84
66 72 1.84
67 68 1.84
67 69 1.84
67 70 1.84
67 71 1.84
67 72 1.84
68 69 1.84
68 70 1.84
68 71 1.84
68 72 1.84
69 70 1.84
69 71 1.84
69 72 1.84
70 71 1.84
70 72 1.84
71 72 1.84
73 74 1.68
73 75 1.68
73 76 1.84
73 77 1.68
73 78 2.68
73 79 1.68
73 80 1.68
73 41 1.68
73 81 1.68
73 82 1.68
73 83 1.68
73 3 1.68
73 84 1.68
74 75 1.84
74 76 1.68
74 77 1.84
74 78 2.84
74 79 1.84
74 80 1.84
74 41 1.84
74 81 1.84
74 82 1.84
74 83 1.84
74 3 1.84
74 84 1.52
75 76 1.68
75 77 1.84
75 78 2.84
75 79 1.84
75 80 1.84
75 41 1.84
75 81 1.84
75 82 1.84
75 83 1.84
75 3 1.84
75 84 1.52
76 77 1.68
76 78 2.68
76 79 1.68
76 80 1.68
76 41 1.68
76 81 1.68
76 82 1.68
76 83 1.68
76 3 1.68
76 84 1.68
77 78 2.84
77 79 1.84
77 80 1.84
77 41 1.84
77 81 1.84
77 82 1.84
77 83 1.84
77 3 1.84
77 84 1.52
78 79 2.84
78 80 2.84
78 41 2.84
78 78 1.84
78 81 2.84
78 82 2.84
78 83 2.84
78 3 2.84
78 84 2.52
79 80 1.84
79 41 1.84
79 81 1.84
79 82 1.84
79 83 1.84
79 3 1.84
79 84 1.52
80 41 1.84
80 81 1.84
80 82 1.84
80 83 1.84
80 3 1.84
80 84 1.52
41 81 1.84
41 82 1.84
41 83 1.84
41 3 2.76
41 84 1.52
81 82 1.84
81 83 1.84
81 3 1.84
81 84 1.52
82 83 1.84
82 3 1.84
82 84 1.52
83 3 1.84
83 84 1.52
3 84 1.52
85 86 1.84
85 87 1.68
85 88 1.84
85 89 1.68
85 90 1.84
85 91 1.84
85 92 1.84
85 93 1.84
85 94 1.84
85 22 1.84
85 95 1.84
85 96 1.84
85 97 1.84
85 98 1.84
86 87 1.68
86 88 1.84
86 89 1.68
86 90 1.84
86 91 1.84
86 92 1.84
86 93 1.84
86 94 1.84
86 22 1.84
86 95 1.84
86 96 1.84
86 97 1.84
86 98 1.84
87 88 1.68
87 89 1.84
87 90 1.68
87 91 1.68
87 92 1.68
87 93 1.68
87 94 1.68
87 22 1.68
87 95 1.68
87 96 1.68
87 97 1.68
87 98 1.68
88 89 1.68
88 90 1.84
88 91 1.84
88 92 1.84
88 93 1.84
88 94 1.84
88 22 1.84
88 95 1.84
88 96 1.84
88 97 1.84
88 98 1.84
89 90 1.68
89 91 1.68
89 92 1.68
89 93 1.68
89 94 1.68
89 22 1.68
89 95 1.68
89 96 1.68
89 97 1.68
89 98 1.68
90 91 1.84
90 92 1.84
90 93 1.84
90 94 1.84
90 22 1.84
90 95 1.84
90 96 1.84
90 97 1.84
90 98 1.84
91 92 1.84
91 93 1.84
91 94 1.84
91 22 1.84
91 95 1.84
91 96 1.84
91 97 1.84
91 98 1.84
92 93 1.84
92 94 1.84
92 22 1.84
92 95 1.84
92 96 1.84
92 97 1.84
92 98 1.84
93 94 1.84
93 22 1.84
93 95 1.84
93 96 1.84
93 97 1.84
93 98 1.84
94 22 1.84
94 95 1.84
94 96 1.84
94 97 1.84
94 98 1.84
22 95 1.84
22 96 1.84
22 97 1.84
22 98 1.84
95 96 1.84
95 97 1.84
95 98 1.84
96 97 1.84
96 98 1.84
97 98 1.84
99 100 1.84
99 101 1.68
99 102 1.84
99 103 1.84
99 104 1.84
99 105 1.84
99 106 1.84
99 107 1.84
99 108 1.84
99 109 1.84
99 110 1.84
99 111 1.68
99 112 1.68
99 113 1.68
100 101 1.68
100 102 1.84
100 103 1.84
100 104 1.84
100 105 1.84
100 106 1.84
100 107 1.84
100 108 1.84
100 109 1.84
100 110 1.84
100 111 1.68
100 112 1.68
100 113 1.68
101 102 1.68
101 103 1.68
101 104 1.68
101 105 1.68
101 106 1.68
101 107 1.68
101 108 1.68
101 109 1.68
101 110 1.68
101 111 1.84
101 112 1.84
101 113 1.84
102 103 1.84
102 104 1.84
102 105 1.84
102 106 1.84
102 107 1.84
102 108 1.84
102 109 1.84
102 110 1.84
102 111 1.68
102 112 1.68
102 113 1.68
103 104 1.84
103 105 1.84
103 106 1.84
103 107 1.84
103 108 1.84
103 109 1.84
103 110 1.84
103 111 1.68
103 112 1.68
103 113 1.68
104 105 1.84
104 106 1.84
104 107 1.84
104 108 1.84
104 109 1.84
104 110 1.84
104 111 1.68
104 112 1.68
104 113 1.68
105 106 1.84
105 107 1.84
105 108 1.84
105 109 1.84
105 110 1.84
105 111 1.68
105 112 1.68
105 113 1.68
106 107 1.84
106 108 1.84
106 109 1.84
106 110 1.84
106 111 1.68
106 112 1.68
106 113 1.68
107 108 1.84
107 109 1.84
107 110 1.84
107 111 1.68
107 112 1.68
107 113 1.68
108 109 1.84
108 110 1.84
108 111 1.68
108 112 1.68
108 113 1.68
109 110 1.84
109 111 1.68
109 112 1.68
109 113 1.68
110 111 1.68
110 112 1.68
110 113 1.68
111 112 1.84
